"НИКА Доска гладильная Ника 9, металл 122x40см, регулир. высота до 90см, европодставка под утюг, Н9",3919
"Сушилка для посуды настольная 55x25x39,5 cм, VETTA арт.AE-767",1990
"BY Швабра ПВА складная, 28см, окрашен., телескоп. ручка 114-141см",1386
"VETTA Швабра с насадкой из микрофибры, телескоп. черенок, нерж.сталь, 80-120см",1330
"VETTA Коврик для ванной, микрофибра, 50x80см, 3 цвета",1330
"VETTA Тележка + сумка, до 30кг, 36х26х94см, 28л, брезент, колеса ЭВА d16см, WQ-108",1290
"Сушилка для белья потолочная Лиана 1,5м, 5 линий, белая",1190
"VETTA Швабра с насадкой из микрофибры, телескоп. черенок сталь 66-110см, механизм-бабочка, NP-1201",1049
"Доска гладильная ГЛ1, 108х29см, без подутюжника",979
"Корзина для белья 50л пластик, ПБ",937
"Табурет квадратный, мягкое сиденье, металл, h47см, 29x29см, НИКА",881
"VETTA Сушилка для белья роторная 6 линий, 365х59х63мм, пластик",839
"VETTA Контейнер на колесиках универсальный, 11,5л, 49,5х18,5х17,4см, 3 цвета",769
"Набор для уборки: щетка, совок, пластик, металл, ПВХ, 2 ручки, длина 62 см, VETTA",769
"Корзина для хранения с крышкой 17л, 36,5х27,5х21,5см, пластик, 2 цвета",601
"VETTA Пленка самоклеящаяся, 45см х 8м, ПВХ, ""Кирпич/Камень"", 4 дизайна",559
"VETTA Пленка самоклеящаяся, 45см х 8м, ПВХ, ""Восточная плитка"", 4 дизайна",559
"VETTA Пленка самоклеящаяся, 45см х 8м, ПВХ, ""Цветы"", 4 дизайна",517
"VETTA Винсент Кофр для хранения постельного белья, ПЕВА, 55х36х20см, 2 дизайна",475
"Карниз для ванной 2м, белый",419
"VETTA Пленка самоклеящаяся солнцезащитная для окон, 45х150см, ПЭТ, 6 цветов",307
"FORZA Светильник на прищепке, E27, 40Вт, 220В, гнущаяся ножка 10см, шнур 75см, 5 цветов",269
"VETTA Пленка на стекло самоклеящаяся, в рулоне, 2 дизайна, 45х200см, ПП",265
"VETTA Контейнер для ватных дисков/палочек ""Вертикаль"", керамика, 3 цвета",223
"VETTA Верона Кофр на молнии с прозрачным окном 40х30х20см, спанбонд, ПЕВА, 2 цвета",217
"VETTA Швабра эконом с насадкой из микрофиб. без подкл., телескоп., металл, 70-120см, насадка 50г",209
"Ведро пластмассовое, 5 л, Лукошко",167
"VETTA Вешалка накидная на дверь, 5 крючков, 24,5х2,5х9,5 см, металл",153
"Паста ГОИ полировальная, 8г",153
"Лоток для столовых приборов, 30х22х4,5см, пластик, Р2030",125
"Контейнер для мелочей ""Ежедневный"", 7 отсеков, цвет микс",125
"Бокс для таблеток, пластик, 8,5 см, 3 цвета,  ""Неделька""",97
